id,name,lng,lat
IDFM:69677,Pont de Rungis Aéroport d'Orly,2.3712308052561912,48.7472250501806
IDFM:71609,Nogent - Le Perreux,2.494098015178811,48.83929033396372
IDFM:64582,Le Vésinet - Le Pecq,2.1214333227746858,48.89773753668432
IDFM:411462,Champigny-sur-Yonne,3.130154840410363,48.32421062271411
IDFM:61480,Thomery,2.7641871478412705,48.39428183783097
IDFM:64622,Saint-Germain-en-Laye Grande Ceinture,2.0739207756190274,48.9028700653953
IDFM:62939,Chilly-Mazarin,2.3077529257096887,48.700259345532544
IDFM:63244,Massy - Palaiseau,2.25870317089009,48.72479910177586
IDFM:70596,Porte d'Italie,2.359949295482016,48.81876707846658
IDFM:66798,Frépillon,2.199407277621513,49.046385152952936
IDFM:73721,Versailles Château Rive Gauche,2.1290407202416146,48.799724508214595
IDFM:65443,Chanteloup-les-Vignes,2.0274748848099233,48.9705087701028
IDFM:66334,Thun le Paradis,1.919725921851513,49.006655613713065
IDFM:72225,Les Grésillons,2.314080259323548,48.920130130791534
IDFM:62471,Verneuil -l'Étang,2.8250837064384484,48.64446585966972
IDFM:69554,Ablon,2.4192622507119297,48.725162199419685
IDFM:411456,Étigny - Véron,3.2900826338816094,48.13765030143217
IDFM:60987,Savigny-sur-Orge,2.3509146247452444,48.67583367239808
IDFM:62804,Le Perray,1.8564579863176116,48.69327783395025
IDFM:62875,Pyramide de Juvisy,2.3718828057335704,48.69810923065547
IDFM:62658,Eglise / Marché,2.4091496578265277,48.686516522522595
IDFM:73603,L'Étang-la-Ville,2.076893601882248,48.86818814962987
IDFM:71422,Puteaux,2.2334042184621183,48.88310999495285
IDFM:73844,Champ de Mars Tour Eiffel,2.2906668421191214,48.85682881407597
IDFM:69647,Fontaine Michalon,2.296398275614947,48.742755522189015
IDFM:61961,Sainte-Colombe Septveilles,3.2547612710637077,48.52974383029457
IDFM:411480,Laroche - Migennes,3.5126763134529835,47.96107924372578
IDFM:67929,Pot d'Etain,3.18080701171828,48.81133634609817
IDFM:72132,Asnières-sur-Seine,2.282267959459062,48.906030970393374
IDFM:71410,Gare du Nord,2.3568259434290013,48.88096281962588
IDFM:71135,Gare d'Austerlitz,2.3667244975569255,48.8423536391491
